,id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,backdrop_path,genre_names,year,profit
13340,358962,Пиковая дама: Черный обряд,Queen of Spades: The Dark Rite,ru,"There is an ancient ritual known to humankind for more than a hundred years...According to the legend, an ominous entity known as The Queen of Spades can be summoned by drawing a door and staircase on a mirror in the darkness, and by saying her name three times. The Queen of Spades gets her energy from reflective objects; she cuts locks of hair from those asleep, and those that see her go mad or die. Four teenagers decide to call The Queen of Spades as a joke. But when one of them dies of a sudden heart attack, the group realizes they are up against something inexplicable and deadly dangerous.",Evil Lives In The Reflection,2015-09-10,/jQ38xui1VOZYb8gzAPZwubg9Dg1.jpg,3.595,57,5.3,1000000,2228115,94,Released,/ghoeE63UBG8XKdMwOZkSY4wKAOa.jpg,Horror,2015,1228115
13346,382725,Sociopathia,Sociopathia,en,"Introverted and peculiar, Mara spends her days fabricating props for movies. But her reclusive persona conceals an internal wrath. Terrified of being alone, Mara refuses to let her lovers leave, sadistically murdering them and keeping their corpses as living dolls. When she's hired by Kat, a fledgling producer, the two instantly hit it off. As their relationship grows more intense, Mara begins to lose her already fragile grip on reality. When her dolls begin demanding all of her attention, and Kat threatens to break her heart, Mara spirals into psychosis, leaving her no choice but to kill again.",Love never dies.,2015-11-19,/viZbvccXM3Um4rnTCGAJCTGur8I.jpg,3.589,18,4.0,750000,0,86,Released,/63CsrXZAP8iL3dZPnryi0qY5vC6.jpg,Horror,2015,-750000
13347,588064,The Fare,The Fare,en,"When a charming fare named Penny climbs into his taxi cab, Harris, her world-weary driver, finds himself engaged in the only kind of courtship he can have with a passenger -- one that lasts as long as her trip. That is, right up until she disappears from the back seat without a trace. When confusion gives way to reality, he resets his meter and is instantaneously transported back to the moment when she climbed into his cab. As he and Penny find themselves trapped in an endless nighttime cab ride, with only each other for company, secrets will be revealed, truths will come to light, and Harris' entire life will be changed forever.",Find Your Way Home.,2018-11-19,/rNxQVzMsXMrTTHSiWCk4ATiohPG.jpg,3.588,53,6.8,0,0,82,Released,/nKSxEENlu8aNvUFzXfd42QXSZaU.jpg,Horror,2018,0
13389,214464,The Dead 2: India,The Dead 2: India,en,An infectious epidemic spreads through India as an American turbine engineer learns that his pregnant girlfriend is trapped near the slums of Mumbai. Now he must battle his way across a 300mile wasteland of the ravenous undead.,The Feeding Continues,2013-08-22,/dEFMImTFeGpW0h75Xj7wya3ELaS.jpg,3.575,45,5.3,0,0,98,Released,/dgwVD73URtNMkS2Q13jpiaAOFVV.jpg,Horror,2013,0
13405,763368,Incision,Incision,en,"Beauty Blogger Alexa Landry only had one fear, plastic surgery. She ultimately had to face this fear when she was kidnapped with her friends by Dr. Cunningham. A deranged plastic surgeon who is obsessed with beautifying his victims.",Some obsessions are painful.,2020-10-28,/xxKyBzg3IwU3tCyXovqwbZbDKKw.jpg,3.568,27,5.6,0,0,79,Released,/cxGcMVsRFxRhMbtKpfQ8JdA1HRB.jpg,Horror,2020,0
13428,457685,Island Zero,Island Zero,en,"A fishing community on a remote Maine island finds itself suddenly cut off from the rest of the world after the ferry stops coming. When people start to vanish, the terrified survivors realize that someone - or something - is hunting them.",Every thing needs to eat.,2018-05-15,/oYq8516uhbRo17MLWQA60xZXzrj.jpg,3.558,31,4.8,0,0,100,Released,/ya2I5AYyhnEqS3zrE9Ymr8AIJ10.jpg,Horror,2018,0
13431,931346,Who Invited Them,Who Invited Them,en,Adam and Margo’s housewarming party goes well enough… except there's this one mysterious couple (Tom and Sasha) lingering after the other guests have left.,Sit down. Have a drink. Get uncomfortable.,2022-06-05,/2aY7M59bGPRqPHtUz6qGArN7bed.jpg,3.556,11,5.8,0,0,80,Released,/zAEPYCIYCWs9srEDSpD8m9wILzU.jpg,Horror,2022,0
13433,552294,Echoes of Fear,Echoes of Fear,en,"After inheriting her grandfather's house, a young woman must confront the mystery of his sudden death and the evil that hides inside.",Evil hides inside,2019-10-16,/1Czf08Mlmz8rkY17sIId4KL26WT.jpg,3.555,26,6.7,0,0,90,Released,/1T0PfBVbbi15yGpbKc76qs2dGE1.jpg,Horror,2019,0
13434,842891,Student Body,Student Body,en,"High school student Jane Shipley seeks to mend her splintering relationship with childhood best friend Merritt, and fit in with her rebellious peers. When Jane's math teacher oversteps his bounds, an apathetic high school administration forces Jane and Merritt to take matters into their own hands, driving their relationship into further turmoil and inciting deadly consequences.",See you after class.,2022-02-08,/f6WnHUG65DriFyUXZe0qBnZgZTo.jpg,3.554,12,4.9,0,0,88,Released,/pcR9TmNglhzFkNFxaJKdV0XYdqI.jpg,Horror,2022,0
13459,481866,Anna,Anna,en,"Two guys steal a haunted doll from a museum with the intention of studying it for a week to capture paranormal phenomena on film. However, things quickly go wrong when the sinister force turns against them.",She's in control now,2017-10-17,/e5UvZylFwvwwFS2YubKBvObqTM6.jpg,3.545,19,4.0,0,0,98,Released,/vgvGG63U46ONfadDHjwdkGs5ypA.jpg,Horror,2017,0
13468,526510,Night Zero,Night Zero,en,A dinner party turns deadly when a group of friends is trapped inside of their house after a massive alien invasion threatens to take over the world. Things take a turn for the worse when they discover that the chemical the military is using to destroy the aliens is also turning humans into zombie-like savages. Now the group must band together and try to survive the night... if they don't kill each other first.,Time. Is. Running. Out.,2018-05-22,/nkDchhroDnF20XGpmIfKT3V5R8n.jpg,3.543,9,5.3,0,0,81,Released,/19TmI50sWoOqe8GFyrc28i0FcRC.jpg,Horror,2018,0
13481,769364,We Need to Do Something,We Need to Do Something,en,"Seeking shelter from a storm, a family finds themselves trapped in a bathroom for days with no sign of rescue and untold evils lurking just beyond the walls.",It’s not just a storm. It’s something far more sinister.,2021-09-03,/g0qiyVdMRaEdXfdR10TVveDProY.jpg,3.539,36,5.8,0,0,97,Released,/rXhUeXgQnJoaNJL4SxnwDb6Kf2h.jpg,Horror,2021,0
13503,365083,Harvest Lake,Harvest Lake,en,"Five friends fall under the seductive influence of a libidinous, otherworldly presence that threatens to change their lives forever in this strange and erotic new film from director Scott Schirmer and producer Brian K. Williams.",Become One With Nature,2016-01-01,/fS0WqeZ9Sm4EXP62du9lWmPvtbd.jpg,3.533,19,3.7,0,0,75,Released,/b2Jpm3ap2f0GTBiD1DT42DyB38h.jpg,Horror,2016,0
13527,216546,Ragin Cajun Redneck Gators,Ragin Cajun Redneck Gators,en,A group of mutant gators attack the cajun people. Pouring blue chemicals in a Louisiana swamp causes the alligator population to morph into monstrous creatures including a clan of cajuns living in the bayou.,Mutant gators take a bite out of the bayou!,2013-09-05,/A9ZI3CXH8vlhnz338DSjSrIcerz.jpg,3.527,16,3.8,0,0,90,Released,/8pRAFry9oSlVpeJSHD12h0WxIKV.jpg,Horror,2013,0
13540,416530,Slasher.com,Slasher.com,en,"After meeting online, Jack and Kristy go on a weekend getaway to the woodlands of rural Missouri. While discovering each other, they soon learn of the terrorizing horrors that the forest has in store.",You can't date online without a slash.,2017-01-16,/v21gdyr0T4KQaAyjUdn1B8Etsm1.jpg,3.526,20,3.7,0,0,89,Released,/tGnQu0VJwYNAcHguIlaqbkLCAIn.jpg,Horror,2017,0
